Number,Title,Price,Item ID,Global ID,Category,Payment Method,Country,Selling State,Start Time,End Time
7843,One Quart Vintage Ball Perfect Mason Blue Glass Canning Jar #1 Zinc Ring/Glass,5.0,112651480265,EBAY-US,Jars,PayPal,"Wahpeton,ND,USA",Active,2017-11-22,2017-12-02
7844,New Farmhouse Cottage Rustic Mason Jar Set of 2 & Pumpkin Fall Decor w/ Wood Box,39.99,332328561067,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-08-02,2017-11-30
7845,One Quart Vintage Ball Perfect Blue Mason Glass Canning Jar #6 with Zinc Ring,5.0,112651480299,EBAY-US,Jars,PayPal,"Wahpeton,ND,USA",Active,2017-11-22,2017-12-02
7846,"Ball Wide Mouth Canning Glass Mason Jars, 32oz, Case Of 12, Jarden 52505 w/Lids",29.33,191958297359,EBAY-US,Canisters & Jars,PayPal,"Palmetto,GA,USA",Active,2016-08-31,2017-11-24
7847,"Vintage Atlas Strong Shoulder Clear Glass Mason Jar Missing Lid 7"" Tall",3.0,232567011131,EBAY-US,Jars,PayPal,"Narrowsburg,NY,USA",Active,2017-11-19,2017-11-26
7848,'Tulips in Mason Jars' by Thomlinson Painting Print on Wrapped Canvas,65.99,391886299162,EBAY-US,Posters & Prints,PayPal,"Austin,TX,USA",Active,2017-09-12,2017-12-11
7849,"Glass Mason Lid: Keifer ""Patent Pending""",5.99,253267864518,EBAY-US,Jars,PayPal,"Amsterdam,NY,USA",Active,2017-11-19,2017-12-19
7850,Vintage Glass Ball Atlas Eagle Mason jars wedding craft canning 16 mixed sizes,30.0,152784684715,EBAY-US,Canisters & Jars,PayPal,"Saint Paul,MN,USA",Active,2017-11-12,2017-12-12
7851,"PremiumVials 12 pcs, 4 oz Mason Glass Jars with Silver Lids",28.07,362142015099,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-10-27,2017-11-26
7852,Planter Box Mason Jar Kitchen Set,36.0,282478874672,EBAY-US,Canisters & Jars,PayPal,"Sauk Rapids,MN,USA",Active,2017-05-15,2017-12-11
7853,BLUE TINTED 32 OZ. MASON JAR MUG W/METAL SCREW LID,0.99,202122200589,EBAY-US,Jars,PayPal,"Cedartown,GA,USA",Active,2017-11-23,2017-11-28
7854,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 333",5.99,142496104501,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7855,1 pack Ball 64oz Wide Mouth Half Gallon Mason Jar' BPA free made in USA,9.99,322881149408,EBAY-US,Jars,PayPal,USA,Active,2017-11-13,2017-12-13
7856,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 43",5.99,142496104504,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7857,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 34",5.99,142496104507,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7858,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 336",5.99,142496104508,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7859,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 59",5.99,142496104509,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7860,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 68",5.99,142496104510,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7861,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 331",5.99,142496104511,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7862,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 53",5.99,142496104512,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7863,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 20",5.99,142496104513,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7864,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 57",5.99,142496104517,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7865,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 233",5.99,142496104519,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7866,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 29",5.99,142496104529,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7867,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 67",5.99,142496118787,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7868,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 200",5.99,142496118799,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7869,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 210",5.99,142496118805,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7870,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 334",5.99,142496118812,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7871,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 330",5.99,142496118819,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7872,Mason Jars Clear Glass with Black Lids Set of 4,13.95,263284002910,EBAY-US,Canisters & Jars,PayPal,"Niceville,FL,USA",Active,2017-10-28,2017-11-27
7873,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 49",5.99,142496104500,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7874,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 16",5.99,142496104502,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7875,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # F - 30",5.99,142496104515,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7876,"Vintage Bright Clear 3 1/4'' Small Mouth Bail Top Mason Jar Lid, Item # W - 124",5.99,142496118766,EBAY-US,Jars,PayPal,"Inwood,WV,USA",Active,2017-09-03,2017-12-02
7877,USA Mfg Clear Cuppow Lid Turns any Mason Jar into No Spill Sippy Cup Travel Mug,11.95,221210827907,EBAY-US,Jars,PayPal,"Pinckney,MI,USA",Active,2013-04-07,2017-12-12
7878,Ceramic Mason Jar Canister Set (Set Of 4),117.74,332457671590,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-11-21,2017-12-21
7879,"Home Decor, 4 piece Mason jar set, Distressed, Rustic, Hand painted",45.0,272948962618,EBAY-US,Canisters & Jars,PayPal,"Willis,TX,USA",Active,2017-11-22,2017-12-22
7880,SET of 4  Snowman Jar Lid primitive decor mason jar top folk art craft,39.99,332057553108,EBAY-US,Canisters & Jars,PayPal,"Elverson,PA,USA",Active,2016-12-09,2017-12-04
7881,2 Glass Mini Mason Jars Filled With Scented Incense Cones Stash Jars Choices,6.64,152560141443,EBAY-US,Other Handcrafted Home Accents,PayPal,"Anaheim,CA,USA",Active,2017-05-24,2017-12-20
7882,timber tops - bamboo wood regular-mouth mason jar storage lids with silicone,26.34,192345265631,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-10-26,2017-11-25
7883,"Home Decor, Mason jar 3 piece set, sented candle, distressed, rustic",30.0,272948947575,EBAY-US,Canisters & Jars,PayPal,"Willis,TX,USA",Active,2017-11-22,2017-12-22
7884,Solar Glass Mason Jars With Southwestern Horned Elk Custom Art Work,30.0,262167036099,EBAY-US,"Boxes, Jars & Tins",PayPal,"Worthington,MA,USA",Active,2015-11-29,2017-12-18
7885,Solar Glass Mason Jars  With Howling Coyote Custom Art Work,30.0,262167043727,EBAY-US,"Boxes, Jars & Tins",PayPal,"Worthington,MA,USA",Active,2015-11-29,2017-12-18
7886,Stainless Steel Sprouting Lid and Band for Wide Mouth Mason Jars,21.99,282578229017,EBAY-US,Canisters & Jars,PayPal,"Denver,CO,USA",Active,2017-07-19,2017-12-16
7887,3-Pc Mason Bird Lidded Jars Set [ID 3678154],112.54,142575245656,EBAY-US,Canisters & Jars,"['PayPal', 'VisaMC', 'AmEx', 'Discover']","Pico Rivera,CA,USA",Active,2017-11-11,2017-12-11
7888,QT BLUE  BALL PERFECT MASON  JR  w/ZINC LID   <>ON SALE<>,3.99,292338917537,EBAY-US,Jars,PayPal,"Homosassa,FL,USA",Active,2017-11-20,2017-11-27
7889,"Ball 66000 Wide Mouth Mason Canning Jar, 1 pt, 3-1/2 in L X 3-1/2 in W X 4.9 in",26.93,202085313913,EBAY-US,Canisters & Jars,PayPal,"Cape Girardeau,MO,USA",Active,2017-10-18,2017-12-17
7890,Vintage Clear Blue Glass Ball Perfect Mason # 5 Canning Jar,4.99,222726253573,EBAY-US,Jars,PayPal,"Bowie,MD,USA",Active,2017-11-20,2017-11-27
7891,"Vintage 3''  Bright Clear Bail Top Mason Jar Lid, Beautiful Swirls",5.99,152759742123,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-10-26,2017-11-25
7892,"Vintage 6 3/4""  Kerr ""Self Sealing"" Reg. u.s. Pat Off  Mason Jar No Lid (MCS-19)",3.0,172965955725,EBAY-US,Jars,PayPal,"Lowell,MA,USA",Active,2017-11-05,2017-12-05
7893,"6 3/4"" Kerr ""Self Sealing"" Reg. U.S. Pat. Off. Mason Jar No Lid (MCS-30)",3.0,182879883035,EBAY-US,Jars,PayPal,"Lowell,MA,USA",Active,2017-11-05,2017-12-05
7894,Vimntage 3 1/4'' Bright Crisp Clear Bail Top Mason Jar Lid,5.99,152759742141,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-10-26,2017-11-25
7895,"Vintage Bright Crisp Clear, 3 1/4'' Smallmouth,  Bail Top Mason Jar Lid",5.99,152759742174,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-10-26,2017-11-25
7896,Vintage 3'' Bright Light Blue Lightning Bail Top Mason Jar Lid.,5.99,152780510411,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-11-09,2017-12-09
7897,"Vintage 3 1/4'' Bright, Clear, Small Mouth, Bail Top Mason Jar Lid, Swirls",5.99,152759742116,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-10-26,2017-11-25
7898,"Vintage 3 1/4'' Bright Light Tinted, Small Mouth Bail Top Mason Jar Lid",5.99,152759742197,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-10-26,2017-11-25
7899,New Primitive Country Farmhouse MASON JAR SALT PEPPER SET Caddy Holder Bsket,16.99,192373544042,EBAY-US,Canisters & Jars,PayPal,"Portersville,PA,USA",Active,2017-11-23,2017-12-23
7900,Kerr mason jar:  self sealing  6 total,6.0,122815635370,EBAY-US,Jars,PayPal,"Crestwood,KY,USA",Active,2017-11-18,2017-11-28
7901,"Vintage 3 1/4'' Bright Light Tinted, Small Mouth Bail Top Mason Jar Lid",5.99,152759742197,EBAY-US,Jars,PayPal,"Berryville,VA,USA",Active,2017-10-26,2017-11-25
